		C520		20180402	20180402	I5	IDR		PV3 39526	51032537		40	82311100				47503500				V0		5220100110	5220100110																											PROPACK - OUTER CARTON		
X		C520		20180403	20180403	I5	IDR		PV3 39527	51032544		31	V5270066				92410000							5220100110																													
		C520		20180403	20180403	I5	IDR		PV3 39527	51032544		40	82311100				92410000				V0		5220100110	5220100110																											PROPACK - OUTER CARTON,ETC		
X		C520		20180404	20180404	I5	IDR		PV3 39528	51032570		31	V5270066				132071080							5220100110																													
		C520		20180404	20180404	I5	IDR		PV3 39528	51032570		40	82311100				132071080				V0		5220100110	5220100110																											PROPACK - OUTER CARTON,ETC		
X		C520		20180405	20180405	I5	IDR		PV3 39529	51032600		31	V5270066				68453450							5220100110																													
		C520		20180405	20180405	I5	IDR		PV3 39529	51032600		40	82311100				68453450				V0		5220100110	5220100110																											PROPACK - OUTER CARTON,ETC		
X		C520		20180406	20180406	I5	IDR		PV3 39530	51032637		31	V5270066				60742650							5220100110																													
		C520		20180406	20180406	I5	IDR		PV3 39530	51032637		40	82311100				60742650				V0		5220100110	5220100110																											PROPACK - OUTER CARTON		
X		C520		20180410	20180410	I5	IDR		PV3 39532	51032695		31	V5270066				78451215							5220100110																													
		C520		20180410	20180410	I5	IDR		PV3 39532	51032695		40	82311100				78451215				V0		5220100110	5220100110																											PROPACK - PAD,ETC		
X		C520		20180411	20180411	I5	IDR		PV3 39533	51032723		31	V5270066				41434939.92							5220100110																													
		C520		20180411	20180411	I5	IDR		PV3 39533	51032723		40	82311100				41434939.92				V0		5220100110	5220100110																											PROPACK - SLEEVE,ETC		
X		C520		20180405	20180405	I5	USD		PV3 39648	INV180721		31	V5272089				7065.77							5220100110																													
		C520		20180405	20180405	I5	USD		PV3 39648	INV180721		40	82311100				7065.77				V0		5220100110	5220100110																											SEKISUI - CUSHION BOTTOM,ETC		
X		C520		20180404	20180404	I5	USD		PV3 39649	INV180722		31	V5272089				2466.45							5220100110																													
		C520		20180404	20180404	I5	USD		PV3 39649	INV180722		40	82311100				2466.45				V0		5220100110	5220100110																											SEKISUI - CUSHION TOP,ETC		
X		C520		20180406	20180406	I5	USD		PV3 39650	INV180726		31	V5272089				574.33							5220100110																													
		C520		20180406	20180406	I5	USD		PV3 39650	INV180726		40	82311100				574.33				V0		5220100110	5220100110																											SEKISUI - CUT FOAM		
