14-238129,289b/VI/17,20170621,,D68681,BP0A,2,2,1,25,741.00,USD
14-809170,289b/VI/17,20170621,,D68681,BP0A,2,2,1,10,15.80,USD
14-813178,289b/VI/17,20170621,,D68681,BP0A,2,2,1,10,26.70,USD
14-814879,289b/VI/17,20170621,,D68681,BP0A,2,2,1,30,81.30,USD
14-816106,289b/VI/17,20170621,,D68681,BP0A,2,2,1,100,187.00,USD
14-932975,289b/VI/17,20170621,,D68681,BP0A,2,2,1,100,7.00,USD
14-947700,289b/VI/17,20170621,,D68681,BP0A,2,2,1,100,5.00,USD
14-949980,289b/VI/17,20170621,,D68681,BP0A,2,2,1,30,20.70,USD
14-951603,289b/VI/17,20170621,,D68681,BP0A,2,2,1,50,577.00,USD
100N00R1,305/VI/17,20170704,G350212,D68681,BP0A,2,2,,1,319.65,USD
100N00R1,305/VI/17,20170704,G350213,D68681,BP0A,2,2,,1,319.65,USD
100N00R1,305/VI/17,20170704,G350214,D68681,BP0A,2,2,,1,319.65,USD
100N00R1,305/VI/17,20170704,G350215,D68681,BP0A,2,2,,1,319.65,USD
100N00R1,305/VI/17,20170704,G350216,D68681,BP0A,2,2,,1,319.65,USD
100N00R1,305/VI/17,20170704,G350217,D68681,BP0A,2,2,,1,319.65,USD
100N00R1,305/VI/17,20170704,G350218,D68681,BP0A,2,2,,1,319.65,USD
100N00R1,305/VI/17,20170704,G350219,D68681,BP0A,2,2,,1,319.65,USD
100N00R1,305/VI/17,20170704,G350220,D68681,BP0A,2,2,,1,319.65,USD
100N00R1,305/VI/17,20170704,G350221,D68681,BP0A,2,2,,1,319.65,USD
100N00R1,305/VI/17,20170704,G350222,D68681,BP0A,2,2,,1,319.65,USD
100N00R1,305/VI/17,20170704,G350223,D68681,BP0A,2,2,,1,319.65,USD
100N00R1,305/VI/17,20170704,G350224,D68681,BP0A,2,2,,1,319.65,USD
100N00R1,305/VI/17,20170704,G350225,D68681,BP0A,2,2,,1,319.65,USD
